symbol,interval,detected_first_ms,detected_first_utc,first_valid_ms,first_valid_utc,floored
BTCUSDT,1m,1567965420000,2019-09-08 17:57,1567965420000,2019-09-08 17:57,False
BTCUSDT,5m,1567965300000,2019-09-08 17:55,1567965300000,2019-09-08 17:55,False
BTCUSDT,15m,1567964700000,2019-09-08 17:45,1567964700000,2019-09-08 17:45,False
BTCUSDT,1h,1567962000000,2019-09-08 17:00,1567962000000,2019-09-08 17:00,False
BTCUSDT,4h,1567958400000,2019-09-08 16:00,1567958400000,2019-09-08 16:00,False
BTCUSDT,12h,1567944000000,2019-09-08 12:00,1567944000000,2019-09-08 12:00,False
ETHUSDT,1m,1574840700000,2019-11-27 07:45,1574840700000,2019-11-27 07:45,False
ETHUSDT,5m,1574840700000,2019-11-27 07:45,1574840700000,2019-11-27 07:45,False
ETHUSDT,15m,1574840700000,2019-11-27 07:45,1574840700000,2019-11-27 07:45,False
ETHUSDT,1h,1574838000000,2019-11-27 07:00,1574838000000,2019-11-27 07:00,False
ETHUSDT,4h,1574827200000,2019-11-27 04:00,1574827200000,2019-11-27 04:00,False
ETHUSDT,12h,1574812800000,2019-11-27 00:00,1574812800000,2019-11-27 00:00,False
SOLUSDT,1m,1600066800000,2020-09-14 07:00,1600066800000,2020-09-14 07:00,False
SOLUSDT,5m,1600066800000,2020-09-14 07:00,1600066800000,2020-09-14 07:00,False
SOLUSDT,15m,1600066800000,2020-09-14 07:00,1600066800000,2020-09-14 07:00,False
SOLUSDT,1h,1600066800000,2020-09-14 07:00,1600066800000,2020-09-14 07:00,False
SOLUSDT,4h,1600056000000,2020-09-14 04:00,1600056000000,2020-09-14 04:00,False
SOLUSDT,12h,1600041600000,2020-09-14 00:00,1600041600000,2020-09-14 00:00,False
NEARUSDT,1m,1602748800000,2020-10-15 08:00,1602748800000,2020-10-15 08:00,False
NEARUSDT,5m,1602748800000,2020-10-15 08:00,1602748800000,2020-10-15 08:00,False
NEARUSDT,15m,1602748800000,2020-10-15 08:00,1602748800000,2020-10-15 08:00,False
NEARUSDT,1h,1602748800000,2020-10-15 08:00,1602748800000,2020-10-15 08:00,False
NEARUSDT,4h,1602748800000,2020-10-15 08:00,1602748800000,2020-10-15 08:00,False
NEARUSDT,12h,1602720000000,2020-10-15 00:00,1602720000000,2020-10-15 00:00,False
ZECUSDT,1m,1580889660000,2020-02-05 08:01,1580889660000,2020-02-05 08:01,False
ZECUSDT,5m,1580889600000,2020-02-05 08:00,1580889600000,2020-02-05 08:00,False
ZECUSDT,15m,1580889600000,2020-02-05 08:00,1580889600000,2020-02-05 08:00,False
ZECUSDT,1h,1580889600000,2020-02-05 08:00,1580889600000,2020-02-05 08:00,False
ZECUSDT,4h,1580889600000,2020-02-05 08:00,1580889600000,2020-02-05 08:00,False
ZECUSDT,12h,1580860800000,2020-02-05 00:00,1580860800000,2020-02-05 00:00,False
JTOUSDT,1m,1702029660000,2023-12-08 10:01,1702029660000,2023-12-08 10:01,False
JTOUSDT,5m,1702029600000,2023-12-08 10:00,1702029600000,2023-12-08 10:00,False
JTOUSDT,15m,1702029600000,2023-12-08 10:00,1702029600000,2023-12-08 10:00,False
JTOUSDT,1h,1702029600000,2023-12-08 10:00,1702029600000,2023-12-08 10:00,False
JTOUSDT,4h,1702022400000,2023-12-08 08:00,1702022400000,2023-12-08 08:00,False
JTOUSDT,12h,1701993600000,2023-12-08 00:00,1701993600000,2023-12-08 00:00,False
TAOUSDT,1m,1712845800000,2024-04-11 14:30,1712845800000,2024-04-11 14:30,False
TAOUSDT,5m,1712845800000,2024-04-11 14:30,1712845800000,2024-04-11 14:30,False
TAOUSDT,15m,1712845800000,2024-04-11 14:30,1712845800000,2024-04-11 14:30,False
TAOUSDT,1h,1712844000000,2024-04-11 14:00,1712844000000,2024-04-11 14:00,False
TAOUSDT,4h,1712836800000,2024-04-11 12:00,1712836800000,2024-04-11 12:00,False
TAOUSDT,12h,1712836800000,2024-04-11 12:00,1712836800000,2024-04-11 12:00,False
HYPEUSDT,1m,1748601000000,2025-05-30 10:30,1748601000000,2025-05-30 10:30,False
HYPEUSDT,5m,1748601000000,2025-05-30 10:30,1748601000000,2025-05-30 10:30,False
HYPEUSDT,15m,1748601000000,2025-05-30 10:30,1748601000000,2025-05-30 10:30,False
HYPEUSDT,1h,1748599200000,2025-05-30 10:00,1748599200000,2025-05-30 10:00,False
HYPEUSDT,4h,1748592000000,2025-05-30 08:00,1748592000000,2025-05-30 08:00,False
HYPEUSDT,12h,1748563200000,2025-05-30 00:00,1748563200000,2025-05-30 00:00,False
FARTCOINUSDT,1m,1734720300000,2024-12-20 18:45,1734720300000,2024-12-20 18:45,False
FARTCOINUSDT,5m,1734720300000,2024-12-20 18:45,1734720300000,2024-12-20 18:45,False
FARTCOINUSDT,15m,1734720300000,2024-12-20 18:45,1734720300000,2024-12-20 18:45,False
FARTCOINUSDT,1h,1734717600000,2024-12-20 18:00,1734717600000,2024-12-20 18:00,False
FARTCOINUSDT,4h,1734710400000,2024-12-20 16:00,1734710400000,2024-12-20 16:00,False
FARTCOINUSDT,12h,1734696000000,2024-12-20 12:00,1734696000000,2024-12-20 12:00,False
LITUSDT,1m,1766511000000,2025-12-23 17:30,1766511000000,2025-12-23 17:30,False
LITUSDT,5m,1766511000000,2025-12-23 17:30,1766511000000,2025-12-23 17:30,False
LITUSDT,15m,1766511000000,2025-12-23 17:30,1766511000000,2025-12-23 17:30,False
LITUSDT,1h,1766509200000,2025-12-23 17:00,1766509200000,2025-12-23 17:00,False
LITUSDT,4h,1766505600000,2025-12-23 16:00,1766505600000,2025-12-23 16:00,False
