Q3 — ESTATE CANDLES: BTCUSDT 5m OHLC, 2026-06-23 14:00 → 21:00 UTC
Source: verified estate cache  C:\Users\luisf\AppData\Local\naiad\data_cache\klines\BTCUSDT_5m.parquet
Bars: 85  (5m, [14:00, 21:00] inclusive)

open_time (UTC)            open       high        low      close        volume
------------------------------------------------------------------------------
2026-06-23 14:00       62446.50   62595.00   62402.30   62529.20      1879.498
2026-06-23 14:05       62529.10   62555.10   62396.20   62539.70       490.431
2026-06-23 14:10       62539.70   62734.80   62451.60   62702.50      1404.337
2026-06-23 14:15       62702.50   62794.50   62626.80   62783.30      1953.008
2026-06-23 14:20       62783.30   62837.10   62536.70   62555.30      1433.911
2026-06-23 14:25       62555.40   62579.90   62420.40   62547.50       995.955
2026-06-23 14:30       62547.60   62657.80   62422.20   62559.60       675.484
2026-06-23 14:35       62559.70   62757.80   62500.10   62532.90      1052.455
2026-06-23 14:40       62532.90   62591.90   62462.50   62488.20       729.130
2026-06-23 14:45       62488.30   62557.40   62421.50   62538.50       929.386
2026-06-23 14:50       62538.50   62581.90   62435.60   62498.50       565.562
2026-06-23 14:55       62498.50   62562.30   62359.20   62462.80      2060.224
2026-06-23 15:00       62462.80   62480.30   62378.20   62458.10      1117.834
2026-06-23 15:05       62458.10   62471.60   62291.90   62324.50      1275.560
2026-06-23 15:10       62324.50   62355.20   62280.00   62355.20       521.456
2026-06-23 15:15       62355.10   62355.10   62210.30   62223.40       704.345
2026-06-23 15:20       62223.40   62286.20   62212.00   62230.20       478.957
2026-06-23 15:25       62230.20   62291.00   62161.20   62247.50       455.985
2026-06-23 15:30       62247.40   62448.40   62247.40   62414.50       733.107
2026-06-23 15:35       62414.50   62466.50   62284.00   62316.60       294.681
2026-06-23 15:40       62316.60   62323.20   62242.00   62262.30       430.416
2026-06-23 15:45       62262.30   62298.60   62171.20   62204.60       441.941
2026-06-23 15:50       62204.60   62346.10   62174.20   62331.70       554.142
2026-06-23 15:55       62331.80   62457.40   62295.10   62455.80       501.213
2026-06-23 16:00       62455.90   62519.80   62393.40   62419.30       794.823
